Date,Price,Open,High,Low,Vol.,Change %,log_price,log_return,pct_return
2018-03-06,1074.75,"1,077.00","1,077.75","1,070.25",106.27K,-0.26%,6.979843355376391,-0.0025554666015112915,-0.002552204176334061
2018-03-07,1065.25,"1,073.25","1,077.25","1,063.00",131.56K,-0.88%,6.9709647923800215,-0.008878562996369688,-0.008839264945336156
2018-03-08,1064.0,"1,063.00","1,069.25","1,056.50",151.73K,-0.12%,6.96979066990159,-0.0011741224784316273,-0.0011734334663224821
2018-03-09,1039.25,"1,063.00","1,065.00","1,036.50",132.44K,-2.33%,6.946254578132747,-0.023536091768843193,-0.023261278195488733
2018-03-12,1041.0,"1,036.00","1,045.00","1,032.00",141.15K,0.17%,6.947937068614969,0.0016824904822225761,0.0016839066634593003
2018-03-13,1048.75,"1,041.50","1,052.00","1,041.25",114.63K,0.74%,6.955354257781416,0.007417189166446292,0.0074447646493756015
2018-03-14,1032.25,"1,048.50","1,054.00","1,031.00",148.68K,-1.57%,6.9394961647662,-0.01585809301521568,-0.01573301549463646
2018-03-15,1051.25,"1,042.00","1,056.75","1,038.25",53.77K,1.84%,6.957735211287158,0.01823904652095809,0.01840639379995146
2018-03-16,1060.25,"1,052.50","1,060.50","1,051.50",33.67K,0.86%,6.9662600083547,0.008524797067542167,0.008561236623067847
2018-03-19,1033.5,"1,055.75","1,056.00","1,032.75",65.31K,-2.52%,6.940706379121823,-0.02555362923287685,-0.025229898608818635
2018-03-20,1039.0,"1,033.00","1,040.25","1,032.75",36.89K,0.53%,6.946013991099227,0.0053076119774040365,0.005321722302854326
2018-03-21,1040.5,"1,040.00","1,048.00","1,035.50",61.09K,0.14%,6.9474566458336895,0.0014426547344621454,0.0014436958614052475
2018-03-22,1040.75,"1,042.25","1,045.75","1,033.00",58.02K,0.02%,6.947696886075085,0.00024024024139546185,0.0002402691013936309
2018-03-23,1039.25,"1,037.50","1,045.25","1,020.25",91.75K,-0.14%,6.946254578132747,-0.001442307942338239,-0.0014412683161182382
2018-03-26,1036.5,"1,037.25","1,051.00","1,036.00",52.92K,-0.26%,6.943604931875834,-0.0026496462569127743,-0.002646139042578821
2018-03-27,1030.25,"1,037.75","1,042.00","1,028.00",56.04K,-0.60%,6.937556770218927,-0.006048161656907247,-0.006029908345393187
2018-03-28,1028.75,"1,030.25","1,033.75","1,026.00",69.05K,-0.15%,6.9360997519912795,-0.001457018227647211,-0.0014559572919193853
