"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2010","948.38","941.25","949.13","932.63","","0.80%"
"01/25/2010","940.88","950.25","953.13","935.63","","-0.95%"
"01/22/2010","949.88","953.00","955.75","947.13","","-0.31%"
"01/21/2010","952.88","946.88","959.38","946.88","","1.09%"
"01/20/2010","942.63","964.25","964.25","940.88","","-2.18%"
"01/19/2010","963.63","973.38","974.50","962.88","","-1.00%"
"01/18/2010","973.38","973.38","973.38","973.38","","-0.05%"
"01/15/2010","973.88","981.88","985.88","971.88","","-0.81%"
"01/14/2010","981.88","993.13","993.38","975.38","","-1.13%"
"01/13/2010","993.13","977.88","993.13","972.25","","1.56%"
"01/12/2010","977.88","1,009.63","1,009.63","969.38","","-3.17%"
"01/11/2010","1,009.88","1,019.13","1,024.63","1,005.88","","-0.93%"
"01/08/2010","1,019.38","1,025.75","1,025.75","1,013.38","","-0.66%"
"01/07/2010","1,026.13","1,057.75","1,057.75","1,024.63","","-3.02%"
"01/06/2010","1,058.13","1,059.88","1,061.63","1,051.13","","-0.17%"
"01/05/2010","1,059.88","1,057.88","1,064.38","1,050.63","","0.17%"
"01/04/2010","1,058.13","1,048.63","1,074.63","1,048.63","","0.91%"
"01/01/2010","1,048.63","1,048.63","1,048.63","1,048.63","","-0.06%"
"12/31/2009","1,049.25","1,043.88","1,061.38","1,043.88","","0.53%"
"12/30/2009","1,043.75","1,045.13","1,052.13","1,035.38","","-0.13%"
"12/29/2009","1,045.13","1,040.38","1,049.13","1,033.38","","0.46%"
"12/28/2009","1,040.38","1,009.00","1,041.63","1,009.00","","3.11%"
"12/25/2009","1,009.00","1,009.00","1,009.00","1,009.00","","-0.01%"
"12/24/2009","1,009.13","1,007.50","1,016.38","1,005.50","","0.17%"
"12/23/2009","1,007.38","997.38","1,009.13","997.38","","0.99%"
"12/22/2009","997.50","1,008.13","1,014.25","992.38","","-1.03%"
"12/21/2009","1,007.88","1,019.38","1,027.63","1,007.38","","-1.13%"
"12/20/2009","1,019.38","1,019.38","1,019.38","1,019.38","","0.01%"
"12/18/2009","1,019.25","1,028.75","1,033.38","1,016.50","","-0.92%"
"12/17/2009","1,028.75","1,060.25","1,060.25","1,016.50","","-2.98%"
"12/16/2009","1,060.38","1,054.88","1,069.63","1,051.63","","0.55%"
"12/15/2009","1,054.63","1,057.88","1,068.38","1,051.38","","-0.31%"
"12/14/2009","1,057.88","1,034.25","1,058.88","1,031.63","","2.28%"
"12/13/2009","1,034.25","1,034.25","1,034.25","1,034.25","","0.01%"
"12/11/2009","1,034.13","1,030.88","1,041.25","1,020.13","","0.44%"
"12/10/2009","1,029.63","1,029.50","1,032.13","1,019.63","","0.17%"
"12/09/2009","1,027.88","1,043.88","1,051.25","1,021.63","","-1.51%"
"12/08/2009","1,043.63","1,054.50","1,056.25","1,042.63","","-1.07%"
"12/07/2009","1,054.88","1,048.38","1,060.88","1,047.38","","0.92%"
"12/06/2009","1,045.25","1,045.25","1,045.25","1,045.25","","0.00%"
"12/04/2009","1,045.25","1,047.63","1,051.00","1,031.13","","-0.30%"
"12/03/2009","1,048.38","1,038.13","1,050.63","1,033.38","","1.40%"
"12/02/2009","1,033.88","1,058.13","1,061.63","1,032.50","","-2.29%"
