"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2021","5.010","5.010","5.010","5.010","","-1.18%"
"06/02/2021","5.070","5.070","5.070","5.070","","-1.17%"
"06/01/2021","5.130","5.130","5.130","5.130","","-1.35%"
"05/31/2021","5.200","5.200","5.200","5.200","","0.19%"
"05/28/2021","5.190","5.190","5.190","5.190","","-0.76%"
"05/27/2021","5.230","5.230","5.230","5.230","","-0.95%"
"05/26/2021","5.280","5.280","5.280","5.280","","-0.56%"
"05/25/2021","5.310","5.310","5.310","5.310","","0.19%"
"05/24/2021","5.300","5.300","5.300","5.300","","-0.56%"
"05/21/2021","5.330","5.330","5.330","5.330","","1.52%"
"05/20/2021","5.250","5.250","5.250","5.250","","-0.76%"
"05/19/2021","5.290","5.290","5.290","5.290","","1.34%"
"05/18/2021","5.220","5.220","5.220","5.220","","-0.38%"
"05/17/2021","5.240","5.240","5.240","5.240","","0.00%"
"05/14/2021","5.240","5.240","5.240","5.240","","-0.76%"
"05/13/2021","5.280","5.280","5.280","5.280","","0.19%"
"05/12/2021","5.270","5.270","5.270","5.270","","1.15%"
"05/11/2021","5.210","5.210","5.210","5.210","","0.19%"
"05/10/2021","5.200","5.200","5.200","5.200","","0.00%"
"05/07/2021","5.200","5.200","5.200","5.200","","-1.14%"
"05/06/2021","5.260","5.260","5.260","5.260","","-1.50%"
"05/05/2021","5.340","5.340","5.340","5.340","","-1.11%"
"05/04/2021","5.400","5.400","5.400","5.400","","0.00%"
"05/03/2021","5.400","5.400","5.400","5.400","","-0.18%"
"04/30/2021","5.410","5.410","5.410","5.410","","1.69%"
"04/29/2021","5.320","5.320","5.320","5.320","","-0.37%"
"04/28/2021","5.340","5.340","5.340","5.340","","-1.66%"
"04/27/2021","5.430","5.430","5.430","5.430","","0.18%"
"04/26/2021","5.420","5.420","5.420","5.420","","-0.91%"
"04/23/2021","5.470","5.470","5.470","5.470","","0.74%"
"04/22/2021","5.430","5.430","5.430","5.430","","-1.81%"
"04/20/2021","5.530","5.530","5.530","5.530","","0.00%"
"04/19/2021","5.530","5.530","5.530","5.530","","-0.36%"
"04/16/2021","5.550","5.550","5.550","5.550","","-0.89%"
"04/15/2021","5.600","5.600","5.600","5.600","","-0.88%"
"04/14/2021","5.650","5.650","5.650","5.650","","-0.53%"
"04/13/2021","5.680","5.680","5.680","5.680","","-0.18%"
"04/12/2021","5.690","5.690","5.690","5.690","","1.43%"
"04/09/2021","5.610","5.610","5.610","5.610","","1.26%"
"04/08/2021","5.540","5.540","5.540","5.540","","-1.42%"
"04/07/2021","5.620","5.620","5.620","5.620","","1.08%"
"04/06/2021","5.560","5.560","5.560","5.560","","-1.59%"
"04/05/2021","5.650","5.650","5.650","5.650","","-0.53%"
"04/01/2021","5.680","5.680","5.680","5.680","","1.43%"
"03/31/2021","5.600","5.600","5.600","5.600","","-2.10%"
"03/30/2021","5.720","5.720","5.720","5.720","","-0.35%"
"03/29/2021","5.740","5.740","5.740","5.740","","0.53%"
"03/26/2021","5.710","5.710","5.710","5.710","","1.24%"
"03/25/2021","5.640","5.640","5.640","5.640","","0.89%"
"03/24/2021","5.590","5.590","5.590","5.590","","1.64%"
"03/23/2021","5.500","5.500","5.500","5.500","","0.36%"
"03/22/2021","5.480","5.480","5.480","5.480","","0.37%"
"03/19/2021","5.460","5.460","5.460","5.460","","-1.27%"
"03/18/2021","5.530","5.530","5.530","5.530","","-0.36%"
"03/17/2021","5.550","5.550","5.550","5.550","","-0.54%"
"03/16/2021","5.580","5.580","5.580","5.580","","-0.53%"
"03/15/2021","5.610","5.610","5.610","5.610","","1.26%"
"03/12/2021","5.540","5.540","5.540","5.540","","0.54%"
"03/11/2021","5.510","5.510","5.510","5.510","","-2.13%"
"03/10/2021","5.630","5.630","5.630","5.630","","-2.26%"
"03/09/2021","5.760","5.760","5.760","5.760","","0.35%"
"03/08/2021","5.740","5.740","5.740","5.740","","1.41%"
"03/05/2021","5.660","5.660","5.660","5.660","","0.18%"
"03/04/2021","5.650","5.650","5.650","5.650","","-0.70%"
"03/03/2021","5.690","5.690","5.690","5.690","","1.07%"
"03/02/2021","5.630","5.630","5.630","5.630","","1.08%"
"03/01/2021","5.570","5.570","5.570","5.570","","0.18%"
"02/26/2021","5.560","5.560","5.560","5.560","","1.46%"
"02/25/2021","5.480","5.480","5.480","5.480","","1.48%"
"02/24/2021","5.400","5.400","5.400","5.400","","-0.37%"
"02/23/2021","5.420","5.420","5.420","5.420","","0.00%"
"02/22/2021","5.420","5.420","5.420","5.420","","0.74%"
"02/19/2021","5.380","5.380","5.380","5.380","","-0.55%"
"02/18/2021","5.410","5.410","5.410","5.410","","0.37%"
"02/17/2021","5.390","5.390","5.390","5.390","","0.75%"
"02/12/2021","5.350","5.350","5.350","5.350","","-0.19%"
"02/11/2021","5.360","5.360","5.360","5.360","","0.19%"
"02/10/2021","5.350","5.350","5.350","5.350","","0.00%"
"02/09/2021","5.350","5.350","5.350","5.350","","0.00%"
"02/08/2021","5.350","5.350","5.350","5.350","","-0.37%"
"02/05/2021","5.370","5.370","5.370","5.370","","-0.92%"
"02/04/2021","5.420","5.420","5.420","5.420","","1.50%"
"02/03/2021","5.340","5.340","5.340","5.340","","0.19%"
"02/02/2021","5.330","5.330","5.330","5.330","","-1.66%"
"02/01/2021","5.420","5.420","5.420","5.420","","-0.55%"
"01/29/2021","5.450","5.450","5.450","5.450","","0.74%"
"01/28/2021","5.410","5.410","5.410","5.410","","0.56%"
"01/27/2021","5.380","5.380","5.380","5.380","","1.70%"
"01/26/2021","5.290","5.290","5.290","5.290","","-2.94%"
"01/22/2021","5.450","5.450","5.450","5.450","","2.44%"
"01/21/2021","5.320","5.320","5.320","5.320","","0.57%"
"01/20/2021","5.290","5.290","5.290","5.290","","-0.56%"
"01/19/2021","5.320","5.320","5.320","5.320","","1.14%"
"01/18/2021","5.260","5.260","5.260","5.260","","0.00%"
"01/15/2021","5.260","5.260","5.260","5.260","","1.54%"
"01/14/2021","5.180","5.180","5.180","5.180","","-1.71%"
"01/13/2021","5.270","5.270","5.270","5.270","","-0.57%"
"01/12/2021","5.300","5.300","5.300","5.300","","-2.93%"
"01/11/2021","5.460","5.460","5.460","5.460","","1.49%"
"01/08/2021","5.380","5.380","5.380","5.380","","0.37%"
"01/07/2021","5.360","5.360","5.360","5.360","","1.90%"
"01/06/2021","5.260","5.260","5.260","5.260","","0.38%"
"01/05/2021","5.240","5.240","5.240","5.240","","0.00%"
"01/04/2021","5.240","5.240","5.240","5.240","","1.35%"
"12/30/2020","5.170","5.170","5.170","5.170","","0.19%"
"12/29/2020","5.160","5.160","5.160","5.160","","-1.15%"
"12/28/2020","5.220","5.220","5.220","5.220","","0.97%"
"12/23/2020","5.170","5.170","5.170","5.170","","0.58%"
"12/22/2020","5.140","5.140","5.140","5.140","","0.78%"
"12/21/2020","5.100","5.100","5.100","5.100","","0.79%"
"12/18/2020","5.060","5.060","5.060","5.060","","0.20%"
"12/17/2020","5.050","5.050","5.050","5.050","","-0.79%"
"12/16/2020","5.090","5.090","5.090","5.090","","0.39%"
"12/15/2020","5.070","5.070","5.070","5.070","","-0.39%"
"12/14/2020","5.090","5.090","5.090","5.090","","1.19%"
"12/11/2020","5.030","5.030","5.030","5.030","","0.40%"
"12/10/2020","5.010","5.010","5.010","5.010","","-2.91%"
"12/09/2020","5.160","5.160","5.160","5.160","","1.18%"
"12/08/2020","5.100","5.100","5.100","5.100","","0.79%"
"12/07/2020","5.060","5.060","5.060","5.060","","-0.78%"
"12/04/2020","5.100","5.100","5.100","5.100","","-0.39%"
"12/03/2020","5.120","5.120","5.120","5.120","","-1.92%"
"12/02/2020","5.220","5.220","5.220","5.220","","0.38%"
"12/01/2020","5.200","5.200","5.200","5.200","","-2.44%"
"11/30/2020","5.330","5.330","5.330","5.330","","0.76%"
"11/27/2020","5.290","5.290","5.290","5.290","","-0.38%"
"11/26/2020","5.310","5.310","5.310","5.310","","0.38%"
"11/25/2020","5.290","5.290","5.290","5.290","","-1.12%"
"11/24/2020","5.350","5.350","5.350","5.350","","-1.29%"
"11/23/2020","5.420","5.420","5.420","5.420","","1.31%"
"11/20/2020","5.350","5.350","5.350","5.350","","1.13%"
"11/19/2020","5.290","5.290","5.290","5.290","","-0.38%"
"11/18/2020","5.310","5.310","5.310","5.310","","0.00%"
"11/17/2020","5.310","5.310","5.310","5.310","","-1.85%"
"11/16/2020","5.410","5.410","5.410","5.410","","-0.73%"
"11/13/2020","5.450","5.450","5.450","5.450","","0.18%"
"11/12/2020","5.440","5.440","5.440","5.440","","0.93%"
"11/11/2020","5.390","5.390","5.390","5.390","","0.75%"
"11/10/2020","5.350","5.350","5.350","5.350","","-0.56%"
"11/09/2020","5.380","5.380","5.380","5.380","","0.00%"
"11/06/2020","5.380","5.380","5.380","5.380","","-2.54%"
